date,open,close,high,low,volume
2021-12-13,387.99966543124697,382.075927734375,390.3280487587349,382.075927734375,83700
2021-12-14,377.1124063309183,377.658447265625,384.2417484247746,373.80849637123856,82200
2021-12-15,375.34232218012943,379.2720642089844,379.47453355065113,366.5901923898359,96900
2021-12-16,383.4625063999754,378.7075805664063,397.1996671901529,374.50790770671006,85200
2021-12-17,373.2747350542686,370.1886291503906,375.0018331818334,366.5902131521147,284400
2021-12-20,364.4397822951556,371.1733703613281,372.5108927364296,358.97313739385777,85200
2021-12-21,374.7625148029801,386.9505004882813,388.1745286019162,374.7625148029801,82500
2021-12-22,385.8185276990317,377.2657775878906,387.7910661477444,375.79330388195314,51000
2021-12-23,379.7812988832123,380.262939453125,381.1341558784962,377.3271479333295,55500
2021-12-27,381.0298858705881,393.7638854980469,394.7915670332253,375.8546579248861,43200
2021-12-28,392.6993649438958,387.5149536132813,398.80102497650086,385.4411946981621,63000
2021-12-29,391.027482881401,383.9993896484375,391.027482881401,380.39485111467457,51600
2021-12-30,382.28452543958286,382.2293090820313,389.8372019438275,380.7844155262839,51600
2021-12-31,382.25081200648697,383.1159057617188,386.3461751681852,376.4958124515626,52800
2022-01-03,380.7169610303832,390.8679809570313,391.2545235813509,380.7169610303832,72600
2022-01-04,395.15048049966174,396.6444396972656,400.0127780223805,391.5950075866569,53400
2022-01-05,398.18746512517777,385.6375122070313,404.01610469911566,383.45638192137744,93300
2022-01-06,388.32173377967496,385.8890686035156,397.06776836736174,378.70451094617584,79800
2022-01-07,389.6562002113701,386.5608825683594,389.6562002113701,384.1680708704048,74400
2022-01-10,386.6836147283295,372.1335144042969,386.6836147283295,368.12403721400193,89100
2022-01-11,375.7933214758033,374.7503051757813,381.4347991163377,372.1212648706284,155700
2022-01-12,381.2108057615528,375.4772644042969,381.2108057615528,371.7806896835871,64800
2022-01-13,376.66146511678994,345.9997863769531,376.66146511678994,344.63159461384595,170700
2022-01-14,343.4474284967009,341.05767822265625,350.2546555195632,331.4496396126275,155400
2022-01-18,346.0366591776516,327.4463806152344,346.0366591776516,322.7436086484753,105000
2022-01-19,333.13691278170626,325.01055908203125,334.51431656163857,323.8295019739075,105600
2022-01-20,327.65803717390526,310.0709228515625,327.65803717390526,308.5799967456762,88800
2022-01-21,308.07990341575834,307.7976989746094,316.2798691055636,304.36187113787446,143700
