open,close,high,low,date
389.36,388.64,391.08,387.26,2023-01-19
390.1,395.88,396.04,388.38,2023-01-20
396.72,400.63,402.645,395.72,2023-01-23
398.88,400.2,401.15,397.64,2023-01-24
395.95,400.35,400.7,393.56,2023-01-25
403.13,404.75,404.92,400.03,2023-01-26
403.655,405.68,408.16,403.44,2023-01-27
402.8,400.59,405.13,400.28,2023-01-30
401.13,406.48,406.53,400.77,2023-01-31
405.211,410.8,413.67,402.35,2023-02-01
414.86,416.78,418.31,412.88,2023-02-02
411.59,412.35,416.97,411.09,2023-02-03
409.79,409.83,411.29,408.1,2023-02-06
408.87,415.19,416.49,407.57,2023-02-07
413.13,410.65,414.53,409.93,2023-02-08
414.41,407.09,414.57,405.81,2023-02-09
405.86,408.04,408.44,405.01,2023-02-10
408.72,412.83,412.97,408.24,2023-02-13
411.24,412.64,415.05,408.511,2023-02-14
410.35,413.98,414.06,409.47,2023-02-15
408.79,408.28,412.91,408.14,2023-02-16
406.06,407.26,407.51,404.05,2023-02-17
403.06,399.09,404.16,398.82,2023-02-21
399.52,398.54,401.13,397.02,2023-02-22
401.56,400.66,402.2,396.25,2023-02-23
395.42,396.38,397.25,393.64,2023-02-24
399.87,397.73,401.29,396.75,2023-02-27
397.23,396.26,399.28,396.15,2023-02-28
395.41,394.74,396.69,393.38,2023-03-01
392.68,397.81,398.69,392.33,2023-03-02
399.71,404.19,404.45,399.03,2023-03-03
405.05,404.47,407.45,404.01,2023-03-06
404.42,398.27,404.67,397.625,2023-03-07
398.39,398.92,399.71,396.59,2023-03-08
399.74,391.56,401.48,390.53,2023-03-09
390.99,385.91,393.16,384.32,2023-03-10
381.81,385.36,390.39,380.65,2023-03-13
390.5,391.73,393.45,387.05,2023-03-14
385.89,389.28,389.49,383.71,2023-03-15
386.82,396.11,396.47,386.29,2023-03-16
393.22,389.99,394.4,388.55,2023-03-17
390.8,393.74,394.17,390.07,2023-03-20
397.24,398.91,399.41,395.58,2023-03-21
398.73,392.11,402.49,392.07,2023-03-22
395.09,393.17,399.29,390.35,2023-03-23
391.841,395.75,395.84,389.4,2023-03-24
398.12,396.49,398.92,395.56,2023-03-27
395.77,395.6,396.49,393.69,2023-03-28
399.925,401.35,401.6,398.68,2023-03-29
404.09,403.7,404.35,401.76,2023-03-30
404.66,409.39,409.7,404.55,2023-03-31
408.85,410.95,411.37,408.44,2023-04-03
411.62,408.67,411.92,407.24,2023-04-04
407.91,407.6,408.7,405.88,2023-04-05
406.77,409.19,409.48,405.678,2023-04-06
406.61,409.61,409.69,405.97,2023-04-10
410.26,409.72,411.18,408.92,2023-04-11
411.87,408.05,412.17,407.44,2023-04-12
409.18,413.47,413.84,407.9922,2023-04-13
412.81,412.46,415.09,410.06,2023-04-14
412.37,413.94,413.96,411.085,2023-04-17
415.58,414.21,415.72,412.7802,2023-04-18
412.22,414.14,415.08,412.16,2023-04-19
411.21,411.88,413.7,410.27,2023-04-20
412.19,412.2,412.68,410.17,2023-04-21
411.99,412.63,413.07,410.6,2023-04-24
410.58,406.08,411.16,406.02,2023-04-25
406.72,404.36,407.84,403.78,2023-04-26
407.0,412.41,412.69,406.74,2023-04-27
411.49,415.93,415.94,411.43,2023-04-28
415.47,415.51,417.62,415.265,2023-05-01
414.77,410.84,414.82,407.82,2023-05-02
411.36,408.02,413.87,407.77,2023-05-03
406.93,405.13,407.27,403.74,2023-05-04
408.91,412.63,413.72,408.64,2023-05-05
412.97,412.74,413.24,411.28,2023-05-08
411.13,410.93,412.09,410.6894,2023-05-09
413.88,412.85,414.535,408.87,2023-05-10
411.95,412.13,412.43,409.97,2023-05-11
413.42,411.59,413.64,409.07,2023-05-12
412.22,413.01,413.43,410.23,2023-05-15
411.86,410.25,412.815,410.24,2023-05-16
412.35,415.23,415.855,410.635,2023-05-17
414.9,419.23,419.67,414.67,2023-05-18
420.17,418.62,420.72,417.35,2023-05-19
418.64,418.79,420.39,417.35,2023-05-22
417.08,414.09,418.722,413.68,2023-05-23
412.42,411.09,412.82,409.8795,2023-05-24
414.74,414.65,416.16,412.4101,2023-05-25
415.33,420.02,420.77,415.25,2023-05-26
422.03,420.18,422.58,418.735,2023-05-30
418.28,417.85,419.22,416.22,2023-05-31
418.09,421.82,422.92,416.79,2023-06-01
424.5,427.92,428.74,423.95,2023-06-02
428.28,427.1,429.67,426.37,2023-06-05
426.67,428.03,428.5772,425.99,2023-06-06
428.44,426.55,429.62,426.11,2023-06-07
426.62,429.13,429.6,425.82,2023-06-08
429.96,429.9,431.99,428.87,2023-06-09
430.92,433.8,433.88,430.17,2023-06-12
435.32,436.66,437.33,434.63,2023-06-13
437.01,437.18,439.0612,433.59,2023-06-14
436.33,442.6,443.9,436.23,2023-06-15
443.02,439.46,443.6078,438.97,2023-06-16
437.45,437.18,438.37,435.03,2023-06-20
436.16,434.94,436.99,434.33,2023-06-21
433.95,436.51,436.62,433.6,2023-06-22
432.93,433.21,435.06,432.47,2023-06-23
432.62,431.44,434.61,431.19,2023-06-26
432.35,436.17,436.81,431.88,2023-06-27
435.05,436.39,437.44,434.41,2023-06-28
435.96,438.11,438.28,435.54,2023-06-29
441.44,443.28,444.3,441.11,2023-06-30
442.92,443.79,444.08,442.63,2023-07-03
441.91,443.13,443.889,441.9,2023-07-05
439.42,439.66,440.1,437.06,2023-07-06
438.63,438.55,442.64,438.3,2023-07-07
438.18,439.66,439.84,437.585,2023-07-10
440.45,442.46,442.97,439.44,2023-07-11
446.39,446.02,447.4799,444.91,2023-07-12
447.9,449.56,450.38,447.45,2023-07-13
450.475,449.28,451.36,448.49,2023-07-14
449.13,450.84,451.93,449.08,2023-07-17
450.5,454.19,454.86,450.0484,2023-07-18
455.01,455.2,456.43,454.1119,2023-07-19
454.17,452.18,455.1,451.44,2023-07-20
453.96,452.18,454.165,452.17,2023-07-21
453.37,454.2,455.04,452.298,2023-07-24
453.92,455.44,456.735,453.87,2023-07-25
454.47,455.51,456.99,453.38,2023-07-26
459.02,452.49,459.44,451.55,2023-07-27
455.88,456.92,457.78,452.4918,2023-07-28
457.41,457.79,458.16,456.045,2023-07-31
456.27,456.48,457.25,455.49,2023-08-01
453.25,450.13,453.52,449.3499,2023-08-02
448.04,448.84,450.79,447.37,2023-08-03
450.72,446.81,452.895,446.27,2023-08-04
448.71,450.71,450.865,447.99,2023-08-07
448.08,448.75,450.6952,445.2705,2023-08-08
449.03,445.75,449.1999,444.96,2023-08-09
448.19,445.91,451.7,444.7,2023-08-10
443.97,445.65,446.7007,443.345,2023-08-11
444.7,448.11,448.11,444.38,2023-08-14
446.27,442.89,446.64,442.3,2023-08-15
442.46,439.64,444.18,439.53,2023-08-16
441.16,436.29,441.43,435.75,2023-08-17
433.37,436.5,437.57,433.01,2023-08-18
437.55,439.34,440.11,435.32,2023-08-21
441.18,438.15,441.18,437.57,2023-08-22
439.25,443.03,443.67,439.1,2023-08-23
444.69,436.89,445.22,436.855,2023-08-24
438.68,439.97,441.3,435.0,2023-08-25
442.24,442.76,443.4,439.9728,2023-08-28
442.65,449.16,449.45,442.46,2023-08-29
449.51,451.01,451.67,448.78,2023-08-30
451.65,450.35,452.83,450.16,2023-08-31
453.17,451.19,453.67,449.68,2023-09-01
450.73,449.24,451.06,449.17,2023-09-05
448.4,446.22,448.51,443.81,2023-09-06
